PRICING_EFFECTIVE_DATE,PRICING_END_DATE,SALES_CHANNEL_TYPE,CUSTOMER_TYPE_CODE,ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,354181,HOLSTEN - FESTBOCK TALL CAN,6.75325E+11,0.473,1,7,2.69,NA
2023-06-29 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,362338,PESSAC LEOGNAN - LE COMTE MALARTIC BLANC 2020,3.60905E+12,0.75,1,12.5,55,NA
2023-07-23 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,362825,ST JULIEN - CHATEAU SAINT PIERRE 2020,3.70042E+12,0.75,1,13,145,NA
2022-01-02 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Champagne Wine,FRANCE,376483,POL ROGER - BRUT 2013,89744301956,0.75,1,12.5,109.99,0
2021-07-11 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,456049,BAROLO - CONTERNO FANTINO MOSCONI VIGNA PED 2010,8.10065E+11,0.75,1,14,175.99,0
2023-03-11 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,459183,MEURSAULT 1ER BLAGNY - LOUIS LATOUR CHATEAU DE BLAGNY 2020,3.56692E+12,0.75,1,13.5,159.99,0
2023-07-23 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,465746,ST JULIEN - CHATEAU BEYCHEVELLE 2020,,0.75,1,13,200,NA
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,470099,BRUNELLO DI MONTALCINO - LUCE 2017,8.00237E+12,0.75,1,15,169.99,0
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Spain Wine,Spain Red Wine,SPAIN,531702,PRIORAT CLOS - DOMINI DE LA CARTOIXA GALENA ORGANIC,8.43701E+12,0.75,1,15,80.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Canadian Whisky,CANADA,550715,FORTY CREEK - BARREL SELECT,69321003022,0.75,1,40,27.49,NA
2023-11-26 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy White Wine,ITALY,882209,COLLI DE LUNI VERMENTINO - LUNAE BOSONI 2022,8.36952E+11,0.75,1,12.5,29.99,1
